Semestre,Campus | Prog.,Programa-Relacionado,Cohorte,Código-Gr,Cupo,Nombre Materia,Resumen horarios
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043006-20,22,Español Académico,D7-15
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043005-20,22,Pedagogías desde la Diversidad Cultural,V9-17
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043004-20,22,El Buen Vivir: Vivir Bien en el Territorio y la Comunidad,S8-16
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043003-20,22,"Lo Rural, las Ruralidades y las Poblaciones Rurales",V9-17
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043002-20,22,"Tierra, Territorio y Ecosistemas de las Comunidades Rurales",D7-15
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043001-20,22,Cartografía Social y Territorial,S8-16
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043027-20,11,Pedagogías Para la Paz Territorial,S8-16
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043026-20,11,Políticas Públicas y Salud Comunitaria en la Ruralidad,D7-15
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043025-20,11,Reforma Rural Integral y Construcción de Paz Territorial,D7-15
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043024-20,11,Gestión y manejo de sistemas productivos y ambientales en la ruralidad,V9-17
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043023-20,11,Práctica Pedagógica II: Planes de Vida Comunitarios,V9-17
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043812-20,23,Teorías del conflicto y construcción de Paz,M18-22
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043923-20,23,Infancias y Culturas Juveniles,V9-17
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043035-20,23,Periodismo y Radio Comunitaria,V9-17
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043034-20,23,Seminario de Profundización I,S8-16
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043033-22,8,Práctica Pedagógica IV: Propuesta Creativa Comunitaria I,S8-16
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043033-21,8,Práctica Pedagógica IV: Propuesta Creativa Comunitaria I,S8-16
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043033-20,8,Práctica Pedagógica IV: Propuesta Creativa Comunitaria I,S8-16
2026-2,Amalfi,Ciencias Naturales,2023-1,2090801-20,11,Práctica Pedagógica VIII,S14-19 - D7-12
2026-2,Amalfi,Ciencias Naturales,2023-1,2090702-20,15,Zoología,V14-19 - S7-12 - D14-19
2026-2,Amalfi,Ciencias Naturales,2023-1,2059006-20,15,Políticas Públicas y Legislación Educativa,V14-19 - S7-12 - D14-19
2026-2,Andes,Especial,2026-2,2018014-25,35,Práctica pedagógica I,"L6-7 -  - "
2026-2,Andes,Especial,2026-2,2018020-25,35,Matemáticas y su didáctica,"L6-7 -  - "
2026-2,Andes,Especial,2026-2,2059003-25,35,Tradiciones y paradigmas en pedagogía,"L6-7 -  - "
2026-2,Andes,Especial,2026-2,2059004-25,35,"Historia, imágenes y concepciones de maestro.","L6-7 -  - "
2026-2,Andes,Especial,2026-2,2059006-25,35,Políticas Públicas y Legislación Educativa,"L6-7 -  - "
2026-2,Andes,Especial,2026-2,2018010-25,40,"Relaciones entre desarrollo, educación y aprendizaje I","L6-7 -  - "
2026-2,Andes,Especial,2026-2,2018011-25,35,Historia y tradiciones de la educación especial,"L6-7 -  - "
2026-2,Andes,Ciencias Naturales,2025-2,2090301-25,20,"Práctica Pedagógica III ",S14-19 - D7-12 - D14-19
2026-2,Andes,Ciencias Naturales,2025-2,2090303-25,20,Sistemas Químicos III,S14-19 - DD_7-12 - V7-12
