Semestre,Campus | Prog.,Programa-Relacionado,Cohorte,Código-Gr,Nombre Materia,Resumen horarios,Resumen de fechas
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043001-20,Cartografía Social y Territorial,S8-16,"📅Septiembre: sáb 05 sept ▶️ Pre 🔸 sáb 12 sept ▶️ AMT 🔸  

📅Octubre: sáb 03 oct ▶️ Pre 🔸 sáb 10 oct ▶️ AMT 🔸 sáb 24 oct ▶️ AMT 🔸 sáb 31 oct ▶️ Pre 🔸  

📅Noviembre: sáb 07 nov ▶️ AMT 🔸 sáb 21 nov ▶️ AMT 🔸 sáb 28 nov ▶️ Pre 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043002-20,"Tierra, Territorio y Ecosistemas de las Comunidades Rurales",D7-15,"📅Septiembre: dom 06 sept ▶️ Pre 🔸 dom 13 sept ▶️ AMT 🔸  

📅Octubre: dom 04 oct ▶️ Pre 🔸 dom 11 oct ▶️ AMT 🔸 dom 25 oct ▶️ AMT 🔸  

📅Noviembre: dom 01 nov ▶️ Pre 🔸 dom 08 nov ▶️ AMT 🔸 dom 22 nov ▶️ AMT 🔸 dom 29 nov ▶️ Pre 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043003-20,"Lo Rural, las Ruralidades y las Poblaciones Rurales",V9-17,"📅Septiembre: vie 04 sept ▶️ Pre 🔸 vie 11 sept ▶️ AMT 🔸  

📅Octubre: vie 02 oct ▶️ Pre 🔸 vie 09 oct ▶️ AMT 🔸 vie 23 oct ▶️ AMT 🔸 vie 30 oct ▶️ Pre 🔸  

📅Noviembre: vie 06 nov ▶️ AMT 🔸 vie 20 nov ▶️ AMT 🔸 vie 27 nov ▶️ Pre 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043004-20,El Buen Vivir: Vivir Bien en el Territorio y la Comunidad,S8-16,"📅Agosto: sáb 22 ago ▶️ Pre 🔸 sáb 29 ago ▶️ AMT 🔸  

📅Septiembre: sáb 19 sept ▶️ Pre 🔸 sáb 26 sept ▶️ AMT 🔸  

📅Octubre: sáb 17 oct ▶️ Pre 🔸 sáb 24 oct ▶️ AMT 🔸  

📅Noviembre: sáb 14 nov ▶️ Pre 🔸 sáb 21 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043005-20,Pedagogías desde la Diversidad Cultural,V9-17,"📅Agosto: vie 21 ago ▶️ Pre 🔸 vie 28 ago ▶️ AMT 🔸  

📅Septiembre: vie 18 sept ▶️ Pre 🔸 vie 25 sept ▶️ AMT 🔸  

📅Octubre: vie 16 oct ▶️ Pre 🔸 vie 23 oct ▶️ AMT 🔸  

📅Noviembre: vie 13 nov ▶️ Pre 🔸 vie 20 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2026-2,2043006-20,Español Académico,D7-15,"📅Agosto: dom 23 ago ▶️ Pre 🔸 dom 30 ago ▶️ AMT 🔸  

📅Septiembre: dom 20 sept ▶️ Pre 🔸 dom 27 sept ▶️ AMT 🔸  

📅Octubre: dom 18 oct ▶️ Pre 🔸 dom 25 oct ▶️ AMT 🔸  

📅Noviembre: dom 15 nov ▶️ Pre 🔸 dom 22 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043023-20,Práctica Pedagógica II: Planes de Vida Comunitarios,V9-17,"📅Agosto: vie 14 ago ▶️ Pre 🔸 vie 21 ago ▶️ AMT 🔸  

📅Septiembre: vie 11 sept ▶️ Pre 🔸 vie 18 sept ▶️ Prác 🔸  

📅Octubre: vie 09 oct ▶️ Pre 🔸 vie 16 oct ▶️ AMT 🔸 vie 23 oct ▶️ AMT 🔸  

📅Noviembre: vie 06 nov ▶️ Pre 🔸 vie 13 nov ▶️ Prác 🔸 vie 27 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043024-20,Gestión y manejo de sistemas productivos y ambientales en la ruralidad,V9-17,"📅Agosto: vie 21 ago ▶️ AMT 🔸 vie 28 ago ▶️ Pre 🔸  

📅Septiembre: vie 04 sept ▶️ AMT 🔸 vie 25 sept ▶️ Pre 🔸  

📅Octubre: vie 02 oct ▶️ AMT 🔸 vie 23 oct ▶️ Pre 🔸 vie 30 oct ▶️ AMT 🔸  

📅Noviembre: vie 20 nov ▶️ Pre 🔸 vie 27 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043025-20,Reforma Rural Integral y Construcción de Paz Territorial,D7-15,"📅Agosto: dom 23 ago ▶️ AMT 🔸 dom 30 ago ▶️ Pre 🔸  

📅Septiembre: dom 06 sept ▶️ AMT 🔸 dom 27 sept ▶️ Pre 🔸  

📅Octubre: dom 04 oct ▶️ AMT 🔸 dom 25 oct ▶️ Pre 🔸  

📅Noviembre: dom 01 nov ▶️ AMT 🔸 dom 22 nov ▶️ Pre 🔸 sáb 28 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043026-20,Políticas Públicas y Salud Comunitaria en la Ruralidad,D7-15,"📅Agosto: dom 16 ago ▶️ Pre 🔸 dom 23 ago ▶️ AMT 🔸  

📅Septiembre: dom 13 sept ▶️ Pre 🔸 dom 20 sept ▶️ AMT 🔸  

📅Octubre: dom 11 oct ▶️ Pre 🔸 dom 18 oct ▶️ AMT 🔸  

📅Noviembre: dom 08 nov ▶️ Pre 🔸 dom 15 nov ▶️ AMT 🔸 dom 29 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2024-2,2043027-20,Pedagogías Para la Paz Territorial,S8-16,"📅Agosto: sáb 22 ago ▶️ AMT 🔸 sáb 29 ago ▶️ Pre 🔸  

📅Septiembre: sáb 05 sept ▶️ AMT 🔸 sáb 26 sept ▶️ Pre 🔸  

📅Octubre: sáb 03 oct ▶️ AMT 🔸 sáb 24 oct ▶️ Pre 🔸 sáb 31 oct ▶️ AMT 🔸  

📅Noviembre: sáb 21 nov ▶️ Pre 🔸 sáb 28 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043033-20,Práctica Pedagógica IV: Propuesta Creativa Comunitaria I,S8-16,"📅Agosto: sáb 15 ago ▶️ Pre 🔸 sáb 22 ago ▶️ AMT 🔸 sáb 29 ago ▶️ AMT 🔸  

📅Septiembre: sáb 05 sept ▶️ Prác 🔸 sáb 12 sept ▶️ Pre 🔸 sáb 19 sept ▶️ AMT 🔸  

📅Octubre: sáb 03 oct ▶️ AMT 🔸 sáb 10 oct ▶️ Pre 🔸 sáb 17 oct ▶️ Prác 🔸 sáb 31 oct ▶️ AMT 🔸  

📅Noviembre: sáb 07 nov ▶️ Pre 🔸 sáb 14 nov ▶️ Prác 🔸 sáb 21 nov ▶️ AMT 🔸 sáb 28 nov ▶️ AMT 🔸  

"
2026-2,Amalfi,Ruralidad y Paz,2023-2,2043033-21,Práctica Pedagógica IV: Propuesta Creativa Comunitaria I,S8-16,"📅Agosto: sáb 15 ago ▶️ Pre 🔸 sáb 22 ago ▶️ AMT 🔸 sáb 29 ago ▶️ AMT 🔸  

📅Septiembre: sáb 05 sept ▶️ Prác 🔸 sáb 12 sept ▶️ Pre 🔸 sáb 19 sept ▶️ AMT 🔸  

📅Octubre: sáb 03 oct ▶️ AMT 🔸 sáb 10 oct ▶️ Pre 🔸 sáb 17 oct ▶️ Prác 🔸 sáb 31 oct ▶️ AMT 🔸  

📅Noviembre: sáb 07 nov ▶️ Pre 🔸 sáb 14 nov ▶️ Prác 🔸 sáb 21 nov ▶️ AMT 🔸 sáb 28 nov ▶️ AMT 🔸  

"
